** Assembled operator Viscous Damping - 2132 by 2132, entries 2132, symmetric
1,11, 1,11,  6.162502736874544e-02
2,11, 2,11,  6.162499224249905e-02
3,11, 3,11,  3.081248452125206e-02
4,11, 4,11,  3.081250208436857e-02
5,11, 5,11,  6.162499224249893e-02
6,11, 6,11,  3.081248452125201e-02
7,11, 7,11,  3.081250208436855e-02
8,11, 8,11,  6.162502736874522e-02
9,11, 9,11,  6.162501678374165e-02
10,11, 10,11,  6.162498165750139e-02
11,11, 11,11,  6.162499311249887e-02
12,11, 12,11,  6.162502823874565e-02
13,11, 13,11,  6.162498165750128e-02
14,11, 14,11,  6.162499311249876e-02
15,11, 15,11,  6.162502823874554e-02
16,11, 16,11,  6.162501678374155e-02
17,11, 17,11,  6.706252434186802e-02
18,11, 18,11,  6.706248611625017e-02
19,11, 19,11,  6.706248611625004e-02
20,11, 20,11,  6.706252434186792e-02
21,11, 21,11,  6.525002269249286e-02
22,11, 22,11,  6.524998550000038e-02
23,11, 23,11,  6.524998550000026e-02
24,11, 24,11,  6.525002269249276e-02
25,11, 25,11,  6.525002544749384e-02
26,11, 26,11,  6.524998825499978e-02
27,11, 27,11,  6.524998825499967e-02
28,11, 28,11,  6.525002544749373e-02
29,11, 29,11,  3.625001326749623e-02
30,11, 30,11,  3.624999260500007e-02
31,11, 31,11,  3.625001326749624e-02
32,11, 32,11,  3.624999260500000e-02
33,11, 33,11,  1.232499623000006e-01
34,11, 34,11,  1.232499592187509e-01
35,11, 35,11,  1.232500516562412e-01
36,11, 36,11,  1.232499623000005e-01
37,11, 37,11,  1.232499623000006e-01
38,11, 38,11,  1.232499623000005e-01
39,11, 39,11,  1.232499592187506e-01
40,11, 40,11,  1.232500516562410e-01
41,11, 41,11,  1.232499623000006e-01
42,11, 42,11,  1.232499623000005e-01
43,11, 43,11,  1.232500547374905e-01
44,11, 44,11,  1.232500054374959e-01
45,11, 45,11,  1.232499592187510e-01
46,11, 46,11,  1.232499623000005e-01
47,11, 47,11,  1.232499623000005e-01
48,11, 48,11,  1.232500085187456e-01
49,11, 49,11,  1.232500054374959e-01
50,11, 50,11,  1.232499838687482e-01
51,11, 51,11,  1.232499869499979e-01
52,11, 52,11,  1.232499832524982e-01
53,11, 53,11,  1.232499940368721e-01
54,11, 54,11,  1.232499841768731e-01
55,11, 55,11,  1.232499841768731e-01
56,11, 56,11,  1.232499841768732e-01
57,11, 57,11,  6.162496888844171e-02
58,11, 58,11,  6.162496888844171e-02
59,11, 59,11,  6.162496888844171e-02
60,11, 60,11,  6.162497381843934e-02
61,11, 61,11,  6.162496842625442e-02
62,11, 62,11,  6.162497027500356e-02
63,11, 63,11,  6.162496873437931e-02
64,11, 64,11,  6.162497951874904e-02
65,11, 65,11,  6.162498105937332e-02
66,11, 66,11,  6.162495795000948e-02
67,11, 67,11,  6.162495795000945e-02
68,11, 68,11,  6.162495640938528e-02
69,11, 69,11,  6.162497951874912e-02
70,11, 70,11,  6.162500416873713e-02
71,11, 71,11,  6.162495795000945e-02
72,11, 72,11,  6.162495795000954e-02
73,11, 73,11,  6.162500262811298e-02
74,11, 74,11,  6.162495640938516e-02
75,11, 75,11,  6.162495795000954e-02
76,11, 76,11,  6.162495795000954e-02
77,11, 77,11,  6.162495795000941e-02
78,11, 78,11,  6.162500262811292e-02
79,11, 79,11,  6.162495640938524e-02
80,11, 80,11,  6.162495795000945e-02
81,11, 81,11,  1.232499841768729e-01
82,11, 82,11,  1.232499841768729e-01
83,11, 83,11,  1.232499841768729e-01
84,11, 84,11,  1.232499940368719e-01
85,11, 85,11,  1.232499832524980e-01
86,11, 86,11,  1.232499869499976e-01
87,11, 87,11,  1.232499838687480e-01
88,11, 88,11,  1.232500054374956e-01
89,11, 89,11,  1.232500085187453e-01
90,11, 90,11,  1.232499623000002e-01
91,11, 91,11,  1.232499623000002e-01
92,11, 92,11,  1.232499592187507e-01
93,11, 93,11,  1.232500054374957e-01
94,11, 94,11,  1.232500547374903e-01
95,11, 95,11,  1.232499623000001e-01
96,11, 96,11,  1.232499623000002e-01
97,11, 97,11,  1.232500516562408e-01
98,11, 98,11,  1.232499592187505e-01
99,11, 99,11,  1.232499623000003e-01
100,11, 100,11,  1.232499623000004e-01
101,11, 101,11,  1.232499623000001e-01
102,11, 102,11,  1.232500516562408e-01
103,11, 103,11,  1.232499592187506e-01
104,11, 104,11,  1.232499623000002e-01
105,11, 105,11,  6.162495795000941e-02
106,11, 106,11,  6.162495640938518e-02
107,11, 107,11,  6.162500262811282e-02
108,11, 108,11,  6.162495795000927e-02
109,11, 109,11,  6.162495795000943e-02
110,11, 110,11,  6.162495795000941e-02
111,11, 111,11,  6.162495640938499e-02
112,11, 112,11,  6.162500262811281e-02
113,11, 113,11,  6.162495795000943e-02
114,11, 114,11,  6.162495795000937e-02
115,11, 115,11,  6.162500416873706e-02
116,11, 116,11,  6.162497951874901e-02
117,11, 117,11,  6.162495640938516e-02
118,11, 118,11,  6.162495795000936e-02
119,11, 119,11,  6.162495795000938e-02
120,11, 120,11,  6.162498105937322e-02
121,11, 121,11,  6.162497951874894e-02
122,11, 122,11,  6.162496873437918e-02
123,11, 123,11,  6.162497027500344e-02
124,11, 124,11,  6.162496842625431e-02
125,11, 125,11,  6.162497381843925e-02
126,11, 126,11,  6.162496888844161e-02
127,11, 127,11,  6.162496888844160e-02
128,11, 128,11,  6.162496888844161e-02
129,11, 129,11,  6.162500416873713e-02
130,11, 130,11,  6.162500416873708e-02
131,11, 131,11,  1.232500547374905e-01
